ServiceNo,Direction,BusStopCode,Latitude,Longitude,all_taps
10,1,2119,1.29184407356581,103.85534334305083,58195
10,1,3019,1.284245000013,103.853108055996,269593
10,1,3059,1.281111,103.851461,296435
10,1,3129,1.27807003532092,103.84956718123824,433810
10,1,3217,1.27552218897645,103.8479443674916,76539
10,1,5649,1.2723842122117,103.84093912218094,105191
10,1,14061,1.27231269789239,103.83862035734884,39119
10,1,14071,1.27220342411953,103.8339025862589,10853
10,1,14081,1.270896111,103.8308919,3178
10,1,14101,1.26837500002503,103.82825805600972,13250
10,1,14121,1.26591350024271,103.8192566062178,295094
10,1,14131,1.26740130257465,103.81675441150335,180451
10,1,14141,1.26552421466644,103.82211326846236,1380325
10,1,14151,1.26964765905364,103.8129359412343,98489
10,1,14161,1.27075866533548,103.81009913005327,337920
10,1,14171,1.27145959833005,103.80654857059398,26926
10,1,15141,1.27275860463579,103.80095947823813,51058
10,1,15151,1.27389192906939,103.7982220898242,99264
10,1,15161,1.27443806198132,103.79666055940478,102175
10,1,15191,1.27581227029734,103.7926357125798,180614
10,1,15201,1.27680819120105,103.78970861437152,16583
10,1,15221,1.27949923466491,103.78548955401584,118630
10,1,16009,1.29425341056334,103.76988323197696,170451
10,1,16011,1.28277766355314,103.78186930413445,265559
10,1,16021,1.28625793147796,103.779810276938,16253
10,1,16031,1.28800629048399,103.77846479413628,95558
10,1,16041,1.2893086506189,103.77660095143266,78490
10,1,16051,1.29014861601908,103.77426036615236,28096
10,1,16061,1.29046257201356,103.77356171611028,115400
10,1,16071,1.29129940835907,103.77117221155989,29974
10,1,16081,1.29195777797363,103.76866138900289,91167
10,1,16201,1.28130063164133,103.78410758834184,24142
10,1,75009,1.35407552367477,103.94339098473914,7215120
10,1,76059,1.35296163572491,103.94165154852796,414882
10,1,76069,1.34875342114003,103.94208629087404,435292
10,1,80141,1.30711835522323,103.87989373246153,139881
10,1,80159,1.295962316986,103.8579517489622,185145
10,1,80169,1.30070547633658,103.86336013257063,102671
10,1,80219,1.30674381370885,103.875264139574,39834
10,1,81179,1.30726086825664,103.88490711001796,158774
10,1,81189,1.30821308595952,103.88850877408412,417082
10,1,81199,1.30862937328019,103.8906311270188,37871
10,1,82071,1.30725334418948,103.89541128171984,173858
